Rk,Player,Team,W,L,W/L%,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 31,Prob%,Age,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,seed
1,Nikola Jokić,DEN,42,27,0.609,53,53,34.6,10.0,17.4,0.573,1.8,4.7,0.386,8.2,12.7,0.642,0.625,6.4,7.7,0.837,3.0,9.7,12.6,10.6,1.5,0.8,3.8,2.7,28.2,,59.7%,30.0,33.2,0.678,0.272,0.439,10.1,30.1,20.5,51.4,2.1,2.1,15.4,30.9,9.7,2.8,12.5,0.326,10.5,4.2,14.7,7.7,5.0
2,Shai Gilgeous-Alexander,OKC,54,15,0.783,57,57,33.6,10.9,19.9,0.549,1.8,4.5,0.389,9.1,15.4,0.595,0.593,8.2,9.1,0.893,0.5,4.0,4.5,6.6,1.4,0.8,2.1,2.1,31.7,,30.7%,27.0,31.3,0.664,0.227,0.46,1.8,12.3,7.2,35.2,2.0,2.4,8.2,33.5,9.6,3.5,13.1,0.329,9.0,3.0,12.0,6.8,1.0
3,Luka Dončić,LAL,43,25,0.632,56,56,35.7,10.6,22.4,0.474,3.9,10.6,0.364,6.8,11.8,0.574,0.561,7.8,10.1,0.774,0.6,7.3,7.9,8.5,1.5,0.6,4.0,2.4,32.9,,3.8%,26.0,27.7,0.613,0.474,0.45,2.1,23.3,13.0,41.0,2.1,1.5,13.0,37.5,5.8,2.5,8.3,0.198,7.8,1.3,9.1,5.6,3.0
4,Cade Cunningham,DET,49,19,0.721,61,61,34.4,8.7,18.9,0.461,2.0,5.8,0.346,6.7,13.1,0.513,0.515,5.1,6.2,0.814,0.9,4.7,5.6,9.9,1.5,0.9,3.7,3.1,24.5,,1.9%,24.0,22.0,0.567,0.308,0.33,2.8,15.0,9.0,44.9,2.1,2.5,14.6,30.5,4.4,3.4,7.8,0.179,5.0,1.4,6.4,4.5,1.0
5,Victor Wembanyama,SAS,51,18,0.739,54,45,29.3,8.3,16.4,0.506,2.0,5.5,0.359,6.3,10.9,0.58,0.566,5.6,6.9,0.811,1.9,9.2,11.1,2.9,1.0,3.0,2.5,2.6,24.2,,1.6%,22.0,28.2,0.622,0.337,0.424,7.1,33.0,20.4,16.5,1.6,9.1,11.5,31.7,3.6,4.1,7.7,0.234,5.6,3.9,9.5,4.6,2.0
6,Jalen Duren,DET,49,19,0.721,58,58,27.8,7.4,11.5,0.642,0.0,0.0,,7.4,11.5,0.642,0.642,4.2,5.8,0.728,3.8,6.8,10.6,1.7,0.9,0.9,1.7,2.8,19.0,,0.8%,22.0,26.0,0.676,0.0,0.506,15.5,26.8,21.2,9.7,1.5,3.1,10.7,23.5,5.7,3.1,8.8,0.262,4.4,0.3,4.7,2.7,1.0
7,Chet Holmgren,OKC,54,15,0.783,59,59,29.4,6.4,11.6,0.554,1.3,3.6,0.349,5.2,8.0,0.646,0.608,3.2,4.1,0.789,1.9,7.2,9.1,1.7,0.6,1.9,1.5,2.2,17.3,,0.5%,23.0,21.4,0.647,0.31,0.354,7.4,25.3,16.7,8.8,0.9,6.2,10.3,22.0,3.8,4.0,7.8,0.214,2.3,1.6,4.0,2.6,1.0
8,Jalen Johnson,ATL,37,31,0.544,61,61,35.2,8.5,17.2,0.495,1.6,4.6,0.351,6.9,12.6,0.547,0.542,4.3,5.6,0.782,1.5,9.0,10.4,8.1,1.3,0.5,3.3,2.1,23.0,,0.4%,24.0,21.3,0.585,0.266,0.323,4.4,27.8,16.0,35.0,1.8,1.2,14.6,27.1,3.5,3.2,6.7,0.151,3.2,1.4,4.6,3.6,8.0
9,Karl-Anthony Towns,NYK,45,25,0.643,65,65,31.2,6.8,13.9,0.492,1.6,4.3,0.366,5.3,9.6,0.549,0.549,4.8,5.6,0.852,3.1,8.8,11.8,2.9,0.9,0.6,2.5,3.5,20.0,,0.4%,30.0,21.4,0.612,0.309,0.403,10.8,31.2,20.9,13.9,1.4,1.9,13.1,25.6,4.6,3.5,8.1,0.191,2.3,0.5,2.7,2.4,3.0
10,Jalen Brunson,NYK,45,25,0.643,64,64,34.9,9.3,20.0,0.464,2.8,7.4,0.376,6.5,12.7,0.515,0.533,5.0,5.9,0.845,0.5,3.0,3.4,6.6,0.8,0.1,2.3,2.3,26.3,,0.4%,29.0,20.3,0.581,0.367,0.292,1.4,9.5,5.4,30.5,1.1,0.4,9.4,30.5,5.8,2.0,7.7,0.167,4.2,-1.0,3.2,2.9,3.0
