Player,team_x,games_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,current_vorp,Tm,value_over_replacement_player,team_y,W,W/L%,seed,team_games_played,3P%
Ochai Agbaji,Toronto Raptors,5,15.6,0.664,0.35,0.25,8.2,13.1,10.6,7.1,2.0,2.5,13.6,14.8,0.2,0.0,0.3,0.09,0.7,-0.9,-0.2,0.1,TOR,1.6400000000000001,Toronto Raptors,1.0,0.2,13.5,5.0,0
Santi Aldama,Memphis Grizzlies,5,16.3,0.643,0.5,0.083,4.4,20.4,12.3,17.0,0.7,2.9,13.9,16.6,0.2,0.1,0.3,0.105,1.5,-1.3,0.2,0.1,MEM,1.6400000000000001,Memphis Grizzlies,2.0,0.4,9.5,5.0,0
Nickeil Alexander-Walker,Minnesota Timberwolves,4,16.2,0.835,0.714,0.19,4.0,7.5,5.8,15.9,0.6,0.0,14.9,13.4,0.3,0.0,0.3,0.162,3.5,-0.4,3.1,0.1,MIN,2.0500000000000003,Minnesota Timberwolves,2.0,0.5,9.5,4.0,0
Jarrett Allen,Cleveland Cavaliers,5,29.8,0.817,0.0,0.605,9.8,33.5,22.6,5.6,1.3,5.6,6.8,17.5,0.8,0.3,1.1,0.37,5.5,1.4,6.9,0.3,CLE,4.92,Cleveland Cavaliers,5.0,1.0,1.0,5.0,0
Kyle Anderson,Golden State Warriors,5,17.9,0.421,0.545,0.182,9.9,15.3,12.6,20.0,5.9,2.4,7.8,14.5,0.1,0.3,0.3,0.226,-0.3,4.6,4.3,0.1,GSW,1.6400000000000001,Golden State Warriors,4.0,0.8,1.5,5.0,0
Giannis Antetokounmpo,Milwaukee Bucks,4,25.2,0.621,0.042,0.69,3.3,31.3,18.1,35.2,0.3,1.4,15.5,34.0,0.3,0.1,0.4,0.133,2.8,-0.1,2.7,0.2,MIL,4.1000000000000005,Milwaukee Bucks,1.0,0.25,13.5,4.0,0
Deandre Ayton,Portland Trail Blazers,5,16.2,0.527,0.09,0.045,10.1,29.2,19.5,6.3,0.9,2.3,8.1,18.7,0.1,0.2,0.3,0.101,-0.1,-1.2,-1.3,0.0,POR,0.0,Portland Trail Blazers,2.0,0.4,9.5,5.0,0
Marvin Bagley III,Washington Wizards,4,25.4,0.581,0.2,0.467,26.8,33.4,30.0,6.2,0.0,3.6,14.2,30.3,0.1,0.0,0.1,0.113,3.2,-4.1,-0.9,0.0,WAS,0.0,Washington Wizards,2.0,0.5,8.0,4.0,0
Patrick Baldwin Jr.,Washington Wizards,3,19.9,0.55,0.3,0.0,6.7,22.0,14.0,11.3,0.0,6.3,0.0,25.2,0.0,0.0,0.0,0.095,1.8,-1.2,0.5,0.0,WAS,0.0,Washington Wizards,2.0,0.5,8.0,4.0,0
LaMelo Ball,Charlotte Hornets,4,21.2,0.613,0.585,0.305,3.1,16.0,9.4,35.2,1.8,1.3,19.8,34.2,0.3,0.0,0.4,0.134,3.9,-1.9,2.0,0.1,CHH,2.0500000000000003,Charlotte Hornets,2.0,0.5,8.0,4.0,0
